Query,Latitude,Longitude,Country,Province,City,Street,Also near,LLD - Legal land description,LSD - Legal subdivision,UWI - Unique well identifier,BC NTS grid,UTM - Universal transverse mercator,UTM - Universal transverse mercator,Well Name,Target Formation,Date,Reported To,Company
1-26-4-2 W2,49.321008,-102.166362,Canada,SK,Moose Creek,*Near* 603 HWY (7 km E),,1-SE-26-4-2-2,1-26-4-2 W2,,,13N 705912E 5467005N,"Zone 13, 705912 meters easting, 5467005 meters northing (Northern Hemisphere)",Legacy Alameda E Hz 1B1-23-3A10-14-4-2 W2M,Huntoon,"July 16-20, 2011",Bill Goods,Legacy Oil+Gas
9-15-4-2 W2,49.299126,-102.188772,Canada,SK,Moose Creek,*Near* 9 HWY (6 km W),,9-NE-15-4-2-2,9-15-4-2 W2,,,13N 704374E 5464512N,"Zone 13, 704374 meters easting, 5464512 meters northing (Northern Hemisphere)",Legacy Alameda E Hz 1D9-15-2D11-14-4-2 W2M,Huntoon,"July 25-30, 2011",Bill Goods,Legacy Oil+Gas
11-6-1-24 W1,49.008297,-100.67691,Canada,MB,Brenda,*Near* 21 HWY (9 km E),,11-NE-6-1-24 W1,11-6-1-24 W1,,,14N 377369E 5429733N,"Zone 14, 377369 meters easting, 5429733 meters northing (Northern Hemisphere)",ARC 104 WASKADA HZ B11-6-1-24 WPM,Spearfish,"July 31-Aug 5, 2011",Robert Taylor,ARC Resources
4-35-1-28 w1,49.075379,-101.119501,Canada,MB,Edward,*Near* 251 HWY (1.8 km S),,4-SE-35-1-28 W1,4-35-1-28 W1,,,14N 345213E 5437999N,"Zone 14, 345213 meters easting, 5437999 meters northing (Northern Hemisphere)",Legacy Pierson Hz 4C-35-1D-35-1-28 WPM,Spearfish,"Aug 7-11, 2011",Norm Wegerhoff,Legacy Oil+Gas
4-27-6-9 w2,49.495571,-103.147212,Canada,SK,Benson,705 Hwy,,4-SW-27-6-9-2,4-27-6-9 W2,,,13N 634164E 5484198N,"Zone 13, 634164 meters easting, 5484198 meters northing (Northern Hemisphere)",Painted Pony Viewfield HZ 2C4-27-1C2-28-6-9 W2,Bakken,"Aug 12-17, 2011",Bob Gerhardt,Painted Pony
16-22-2-29 w1,49.145566,-101.292589,Canada,MB,Edward,*Near* 256 HWY (3.0 km E),,16-NW-22-2-29 W1,16-22-2-29 W1,,,14N 332810E 5446168N,"Zone 14, 332810 meters easting, 5446168 meters northing (Northern Hemisphere)",Legacy Pierson Hz A16-22-2-29 WPM,Spearfish,"Aug 18-21, 2011",Norm Wegerhoff,Legacy Oil+Gas
11-11-1-24 w1,49.023347,-100.58722,Canada,MB,Brenda,*Near* 21 HWY (2.1 km E),,11-NE-11-1-24 W1,11-11-1-24 W1,,,14N 383963E 5431265N,"Zone 14, 383963 meters easting, 5431265 meters northing (Northern Hemisphere)",ARC Goodlands Hz 11-11-01-24 W1M,Spearfish,"Aug 23-27, 2011",Robert Taylor,ARC Resources
12-22-2-29 w1,49.141878,-101.276084,Canada,MB,Edward,*Near* 256 HWY (1.8 km E),,12-NE-22-2-29 W1,12-22-2-29 W1,,,14N 334001E 5445722N,"Zone 14, 334001 meters easting, 5445722 meters northing (Northern Hemisphere)",Legacy Pierson Hz 12B-22-9A-22-2-29 WPM,Spearfish,"Aug 27-Sept 1, 2011",Norm Wegerhoff,Legacy Oil+Gas
8-22-1-24 w1,49.049191,-100.620685,Canada,MB,Brenda,*Near* 21 HWY (4.6 km E),,8-SW-22-1-24 W1,8-22-1-24 W1,,,14N 381578E 5434189N,"Zone 14, 381578 meters easting, 5434189 meters northing (Northern Hemisphere)",ARC Waskada HZNTL 8-22-01-24 W1M,Spearfish,"Sept 4-11, 2011",Kevin Johnston/Robert Taylor,ARC Resources
5-34-11-6 w2,49.950735,-102.753456,Canada,SK,Hazelwood,*Near* 711 HWY (1.0 km N),,5-SW-34-11-6-2,5-34-11-6 W2,,,13N 661161E 5535572N,"Zone 13, 661161 meters easting, 5535572 meters northing (Northern Hemisphere)",Harvest Operations Moose Valley 2D5-34-1A1-33-11-6 W2M,Tilston,"Sept 12-16, 2011",Martin Kasserra,Harvest Operations
5-29-1-27 w1,49.064095,-101.052131,Canada,MB,Arthur,*Near* 83 HWY (204 meters E),,5-SE-29-1-27 W1,5-29-1-27 W1,,,14N 350099E 5436609N,"Zone 14, 350099 meters easting, 5436609 meters northing (Northern Hemisphere)",Legacy Coulter Hz 5B-29-5B-30-1-27 WPM,Spearfish,"Sept 20-27, 2011",Norm Wegerhoff,Legacy Oil+Gas
12-29-1-27 w1,49.067746,-101.052131,Canada,MB,Arthur,*Near* 83 HWY (206 meters E),,12-NE-29-1-27 W1,12-29-1-27 W1,,,14N 350110E 5437015N,"Zone 14, 350110 meters easting, 5437015 meters northing (Northern Hemisphere)",Legacy Coulter Prov Hz 12C-29-9D-29-1-27 WPM,Spearfish,"Oct 3-7, 2011",Norm Wegerhoff,Legacy Oil+Gas
8-4-1-24 w1,49.004866,-100.643421,Canada,MB,Brenda,*Near* 21 HWY (6 km E),,8-SW-4-1-24 W1,8-4-1-24 W1,,,14N 379810E 5429298N,"Zone 14, 379810 meters easting, 5429298 meters northing (Northern Hemisphere)",ARC Waskada Prov. HZNTL B8-04-1-24 W1M,Spearfish,"Oct 19-22, 2011",Robert Taylor,ARC Resources
8-10-8-9 w2,49.629992,-103.138418,Canada,SK,Tecumseh,*Near* 13 HWY (4.3 km N),,8-SE-10-8-9-2,8-10-8-9 W2,,,13N 634431E 5499157N,"Zone 13, 634431 meters easting, 5499157 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 4D8-10-3D8-11-8-9 W2M,Bakken,"Nov 2-9, 2011",Dean Malhiot,Crescent Point Energy Corp.
8-8-9-9 w2,49.717316,-103.183456,Canada,SK,Tecumseh,*Near* South AVE (2.6 km NE),,8-SE-8-9-9-2,8-8-9-9 W2,,,13N 630945E 5508785N,"Zone 13, 630945 meters easting, 5508785 meters northing (Northern Hemisphere)",CPEC HEWARD SOUTH HZ 5D8-8-4B5-8-9-9 W2M,Bakken,"Nov 14-21, 2011",Dean Malhiot,Crescent Point Energy Corp.
13-30-9-8 w2,49.768307,-103.08749,Canada,SK,Tecumseh,*Near* 47 HWY (4.6 km E),,13-NW-30-9-8-2,13-30-9-8 W2,,,13N 637717E 5514626N,"Zone 13, 637717 meters easting, 5514626 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 3D13-30-1C13-31-9-8 W2M,Bakken,"Nov 26-Dec 3, 2011",Dean Malhiot,Crescent Point Energy Corp.
8-22-9-9 w2,49.746426,-103.138363,Canada,SK,Tecumseh,*Near* Railway AVE (1.1 km SSW),,8-SE-22-9-9-2,8-22-9-9 W2,,,13N 634115E 5512101N,"Zone 13, 634115 meters easting, 5512101 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 4A8-22-3A8-23-9-9 W2M,Bakken,"Dec 8-14, 2011",Dean Malhiot,Crescent Point Energy Corp.
13-32-8-9 w2,49.695437,-103.200221,Canada,SK,Tecumseh,*Near* 13 HWY (2.9 km S),,13-NW-32-8-9-2,13-32-8-9 W2,,,13N 629794E 5506324N,"Zone 13, 629794 meters easting, 5506324 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 2B13-32-2A16-32-8-9 W2M,Bakken,"Jan 5-10, 2012",Dean Malhiot,Crescent Point Energy Corp.
15-10-9-9 w2,49.724555,-103.143923,Canada,SK,Tecumseh,*Near* 33 HWY (1.1 km NE),,15-NE-10-9-9-2,15-10-9-9 W2,,,13N 633774E 5509660N,"Zone 13, 633774 meters easting, 5509660 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 4C15-10-2D15-15-9-9 W2M,Bakken,"Jan 16-23, 2012",Dean Malhiot,Crescent Point Energy Corp.
1-2-9-32 w1,49.71173,-101.716322,Canada,SK,Walpole,*Near* 8 HWY (1.8 km E),,1-SE-2-9-32-1,1-2-9-32 W1,,,14N 304180E 5510122N,"Zone 14, 304180 meters easting, 5510122 meters northing (Northern Hemisphere)",BDOG MAIR 2HZ 4C1-2-4C9-2-9-32 W1M,Souris Valley,"Jan 23-27, 2012",Michael Hutchison,Bulldog Resources
4-20-9-7 w2,49.742882,-102.929312,Canada,SK,Tecumseh,*Near* 47 HWY (7 km W),,4-SW-20-9-7-2,4-20-9-7 W2,,,13N 649185E 5512101N,"Zone 13, 649185 meters easting, 5512101 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B4-20--1C13-20-009-07 W2M,Bakken,"Jan 29-Feb 3, 2012",Dean Malhiot,Crescent Point Energy Corp.
4-20-9-7 w2,49.742882,-102.929312,Canada,SK,Tecumseh,*Near* 47 HWY (7 km W),,4-SW-20-9-7-2,4-20-9-7 W2,,,13N 649185E 5512101N,"Zone 13, 649185 meters easting, 5512101 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2A4-20--4B4-17-009-07 W2M,Bakken,"Feb 8-13, 2012",Dean Malhiot,Crescent Point Energy Corp.
1-21-9-7 w2,49.742897,-102.890012,Canada,SK,Tecumseh,*Near* 47 HWY (10 km W),,1-SE-21-9-7-2,1-21-9-7 W2,,,13N 652016E 5512182N,"Zone 13, 652016 meters easting, 5512182 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B1-21--3A1-16-009-07 W2M,Bakken,"Feb 19-26, 2012",Dean Malhiot,Crescent Point Energy Corp.
3-3-8-8 w2,49.611927,-103.014079,Canada,SK,Tecumseh,*Near* 47 HWY (0.6 km W),,3-SW-3-8-8-2,3-3-8-8 W2,,,13N 643463E 5497379N,"Zone 13, 643463 meters easting, 5497379 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2A3-3--4B3-34-008-08 W2M,Bakken,"Mar 2-8, 2012",Dean Malhiot,Crescent Point Energy Corp.
12-9-1-24 w1,49.023453,-100.626601,Canada,MB,Brenda,*Near* 21 HWY (5 km E),,12-NE-9-1-24 W1,12-9-1-24 W1,,,14N 381084E 5431337N,"Zone 14, 381084 meters easting, 5431337 meters northing (Northern Hemisphere)",ARC WASKADA HZNTL 12-09-001-24 WPM,Spearfish,"May 31-June 3, 2012",Robert Taylor,ARC Resources
13-11-1-24 w1,49.026989,-100.581685,Canada,MB,Brenda,*Near* 21 HWY (1.7 km E),,13-NE-11-1-24 W1,13-11-1-24 W1,,,14N 384376E 5431661N,"Zone 14, 384376 meters easting, 5431661 meters northing (Northern Hemisphere)",ARC Goodlands HZNTL 13-11-01-24 WPM,Spearfish,"June 15-17, 2012",Robert Taylor,ARC Resources
4-13-1-24 w1,49.030806,-100.559091,Canada,MB,Brenda,21 Hwy,,4-SE-13-1-24 W1,4-13-1-24 W1,,,14N 386036E 5432051N,"Zone 14, 386036 meters easting, 5432051 meters northing (Northern Hemisphere)",ARC Waskada Prov HZNTL (4B-13) 15-11-01-24 WPM,Spearfish,"June 29-July 5, 2012",James Nasen,ARC Resources
1-34-1-27 w1,49.075316,-101.023822,Canada,MB,Arthur,*Near* 251 HWY (1.5 km N),,1-SW-34-1-27 W1,1-34-1-27 W1,,,14N 352200E 5437801N,"Zone 14, 352200 meters easting, 5437801 meters northing (Northern Hemisphere)",Legacy Coulter Hz 1-34-1-27 WPM,Spearfish,"July 5-10, 2012",Bailey Hedican,Legacy Oil+Gas
13-3-1-4 w2,49.011817,-102.473504,Canada,SK,Coalfields,*Near* Park AVE (5 km W),,13-NW-3-1-4-2,13-3-1-4 W2,,,13N 684742E 5431845N,"Zone 13, 684742 meters easting, 5431845 meters northing (Northern Hemisphere)",Elkhorn et al Pinto HZ 2D13-3-4B2-4-1-4 W2M,Midale Nesson,"Aug 6-16, 2012",Dean Potter,Elkhorn Resources
14-6-1-3 w2,49.011817,-102.400855,Canada,SK,Enniskillen,*Near* 9 HWY (8 km NE),,14-NW-6-1-3-2,14-6-1-3 W2,,,13N 690054E 5432024N,"Zone 13, 690054 meters easting, 5432024 meters northing (Northern Hemisphere)",Elkhorn Northgate HZ 1D14-6-2D14-7-1-3 W2M,Torquay,"Sept 16-29, 2012",Trevor Else,Elkhorn Resources
13-5-1-3 w2,49.011859,-102.38401,Canada,SK,Enniskillen,*Near* 9 HWY (7 km NE),,13-NW-5-1-3-2,13-5-1-3 W2,,,13N 691285E 5432071N,"Zone 13, 691285 meters easting, 5432071 meters northing (Northern Hemisphere)",Elkhorn Northgate HZ 5C13-5-12B4-5-1-3 W2M,Torquay,"Oct 10-14, 2012",Dean Potter,Elkhorn Resources
16-15-8-8 w2,49.651915,-103.002959,Canada,SK,Tecumseh,*Near* 47 HWY (1.4 km W),,16-NE-15-8-8-2,16-15-8-8 W2,,,13N 644148E 5501845N,"Zone 13, 644148 meters easting, 5501845 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1D16-15--2D16-14-008-08 W2M,Bakken,"Oct 22-27, 2012",Dean Malhiot,Crescent Point Energy Corp.
9-28-9-8 w2,49.764719,-103.025529,Canada,SK,Tecumseh,47 Hwy,,9-NE-28-9-8-2,9-28-9-8 W2,,,13N 642189E 5514342N,"Zone 13, 642189 meters easting, 5514342 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2D9-28--2D9-27-9-8 W2M,Bakken,"Nov 8-14, 2012",Dean Malhiot,Crescent Point Energy Corp.
9-25-7-10 w2,49.58989,-103.228798,Canada,SK,Tecumseh,*Near* 13 HWY (9 km N),,9-NE-25-7-10-2,9-25-7-10 W2,,,13N 628010E 5494541N,"Zone 13, 628010 meters easting, 5494541 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4D9-25--2D9-30-007-10 W2M,Bakken,"Nov 19-25, 2012",Dean Malhiot,Crescent Point Energy Corp.
13-13-5-6 w2,49.390014,-102.698771,Canada,SK,Browning,*Near* 361 HWY (1.4 km S),,13-NW-13-5-6-2,13-13-5-6 W2,,,13N 666993E 5473360N,"Zone 13, 666993 meters easting, 5473360 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2C13-13--1C13-14-005-06 W2M,Bakken,"Dec 10-16, 2012",Dean Malhiot,Crescent Point Energy Corp.
1-9-7-6 w2,49.538811,-102.75431,Canada,SK,Brock,*Near* 605 HWY (5 km E),,1-SE-9-7-6-2,1-9-7-6 W2,,,13N 662470E 5489779N,"Zone 13, 662470 meters easting, 5489779 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4A1-9--4A1-10-007-06 W2M,Bakken,"Jan 6-11, 2013",Dean Malhiot,Crescent Point Energy Corp.
12-23-8-9 w2,49.662748,-103.132598,Canada,SK,Tecumseh,*Near* 13 HWY (0.7 km N),,12-NW-23-8-9-2,12-23-8-9 W2,,,13N 634761E 5502809N,"Zone 13, 634761 meters easting, 5502809 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B12-23--3D8-23-008-09 W2M,Bakken,"Jan 15-20, 2013",Dean Malhiot,Crescent Point Energy Corp.
8-21-8-9 w2,49.659142,-103.160971,Canada,SK,Tecumseh,*Near* 13 HWY (1.1 km N),,8-SE-21-8-9-2,8-21-8-9 W2,,,13N 632724E 5502357N,"Zone 13, 632724 meters easting, 5502357 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4A8-21--4B5-21-008-09 W2M,Bakken,"Jan 24-29, 2013",Dean Malhiot,Crescent Point Energy Corp.
13-30-9-33 w1,49.778487,-101.960458,Canada,SK,Walpole,*Near* 601 HWY (4.6 km E),,13-NW-30-9-33-1,13-30-9-33 W1,,,14N 286875E 5518208N,"Zone 14, 286875 meters easting, 5518208 meters northing (Northern Hemisphere)",Pemoco Parkman 2Hz 4C13-30-2D2-36-9-34 W1M,Tilston,"Feb 9-11, 2013",Bruce Wilkins,Pemoco
13-5-9-7 w2,49.710114,-102.929297,Canada,SK,Tecumseh,*Near* 13 HWY (4.6 km S),,13-NW-5-9-7-2,13-5-9-7 W2,,,13N 649286E 5508459N,"Zone 13, 649286 meters easting, 5508459 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B13-5--1B13-6-009-07 W2M,Bakken,"Feb 18-26, 2013",Dean Malhiot,Crescent Point Energy Corp.
13-5-9-7 w2,49.710114,-102.929297,Canada,SK,Tecumseh,*Near* 13 HWY (4.6 km S),,13-NW-5-9-7-2,13-5-9-7 W2,,,13N 649286E 5508459N,"Zone 13, 649286 meters easting, 5508459 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 5B13-05--2A16-05-009-07 W2M,Bakken,"Mar 1-8, 2013",Dean Malhiot,Crescent Point Energy Corp.
1-9-7-6 w2,49.538811,-102.75431,Canada,SK,Brock,*Near* 605 HWY (5 km E),,1-SE-9-7-6-2,1-9-7-6 W2,,,13N 662470E 5489779N,"Zone 13, 662470 meters easting, 5489779 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1A1-09--3A1-04-007-06 W2M,Bakken,"Mar 11-18, 2013",Dean Malhiot,Crescent Point Energy Corp.
4-26-32-24 w3,51.767061,-109.308813,Canada,SK,Oakdale,*Near* 307 HWY (7 km S),,4-SW-26-32-24-3,4-26-32-24 W3,,,12N 616699E 5736484N,"Zone 12, 616699 meters easting, 5736484 meters northing (Northern Hemisphere)",Beaumont Kerrobert Hz 4C4-26--2B7-27-032-24 W3M,Viking,"June 17-18, 2013",Frank Madadi,Beaumont Energy
4-26-32-24 w3,51.767061,-109.308813,Canada,SK,Oakdale,*Near* 307 HWY (7 km S),,4-SW-26-32-24-3,4-26-32-24 W3,,,12N 616699E 5736484N,"Zone 12, 616699 meters easting, 5736484 meters northing (Northern Hemisphere)",Beaumont Kerrobert Hz 1C4-26-3B2-27-032-24 W3M,Viking,"June 20-22, 2013",Frank Madadi,Beaumont Energy
13-27-32-23 w3,51.777867,-109.190593,Canada,SK,Oakdale,*Near* 21 HWY (3.0 km E),,13-NW-27-32-23-3,13-27-32-23 W3,,,12N 624826E 5737881N,"Zone 12, 624826 meters easting, 5737881 meters northing (Northern Hemisphere)",Beaumont Kerrobert Hz 5B13-27-2D7-28-032-23 W3M,Viking,"July 7-8, 2013",Frank Madadi,Beaumont Energy
4-16-33-24 w3,51.825242,-109.356137,Canada,SK,Oakdale,*Near* 51 HWY (8 km NW),,4-SW-16-33-24-3,4-16-33-24 W3,,,12N 613287E 5742879N,"Zone 12, 613287 meters easting, 5742879 meters northing (Northern Hemisphere)",Beaumont Kerrobert Hz 4A4-16-2B11-09-33-24 W3M,Viking,"July 10-12, 2013",Frank Madadi,Beaumont Energy
10-36-31-19 w3,51.701304,-108.564603,Canada,SK,Winslow,*Near* 31 HWY (0.6 km N),,10-NE-36-31-19-3,10-36-31-19 W3,,,12N 668290E 5730625N,"Zone 12, 668290 meters easting, 5730625 meters northing (Northern Hemisphere)",Renegade Dodsland HZ 4B10-36-4B12-36-31-19 W3M,Viking,"July 18-19, 2013",Jeff Fisher,Renegade Petroleum
2-18-32-23 w3,51.737901,-109.24985,Canada,SK,Oakdale,*Near* Sixth AVE (2.6 km S),,2-SE-18-32-23-3,2-18-32-23 W3,,,12N 620845E 5733337N,"Zone 12, 620845 meters easting, 5733337 meters northing (Northern Hemisphere)",Renegade Kerrobert HZ 1D2-18-4A10-7-32-23 W3M,Viking,"July 20-22, 2013",Jeff Fisher,Renegade Petroleum
16-22-30-23 w3,51.5895,-109.147813,Canada,SK,Kindersley,*Near* 21 HWY (1.4 km W),Oakdale (3.4 km N),16-NE-22-30-23-3,16-22-30-23 W3,,,12N 628308E 5717008N,"Zone 12, 628308 meters easting, 5717008 meters northing (Northern Hemisphere)",Renegade Lucky Hills Hz 1C16-22-4C8-27-30-23 W3M,Viking,"July 28-29, 2013",Jeff Fisher,Renegade Petroleum
15-19-30-24 w3,51.589453,-109.364554,Canada,SK,Kindersley,*Near* 307 HWY (8 km W),Oakdale (3.4 km N),15-NE-19-30-24-3,15-19-30-24 W3,,,12N 613295E 5716645N,"Zone 12, 613295 meters easting, 5716645 meters northing (Northern Hemisphere)",Renegade Whiteside Hz 1B15-19-3B13-19-30-24 W3M,Viking,"July 30-31, 2013",Jeff Fisher,Renegade Petroleum
1-29-8-5 w2,49.670099,-102.641572,Canada,SK,Brock,*Near* 13 HWY (1.8 km S),,1-SE-29-8-5-2,1-29-8-5 W2,,,13N 670168E 5504622N,"Zone 13, 670168 meters easting, 5504622 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2B1-29/3B1-20-008-05 W2M,Bakken,"Aug 10-16, 2013",Dean Malhiot/Dan Wright,Crescent Point Energy Corp.
16-16-8-8 w2,49.651905,-103.025473,Canada,SK,Stoughton,47 Hwy,,16-NE-16-8-8-2,16-16-8-8 W2,,,13N 642523E 5501801N,"Zone 13, 642523 meters easting, 5501801 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1D16-16/2C13-16-008-08 W2M,Bakken,"Aug 20-25, 2013",Dean Malhiot,Crescent Point Energy Corp.
1-35-8-8 w2,49.684633,-102.98033,Canada,SK,Tecumseh,*Near* 13 HWY (1.8 km S),,1-SE-35-8-8-2,1-35-8-8 W2,,,13N 645684E 5505526N,"Zone 13, 645684 meters easting, 5505526 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1A1-35--2C13-36-008-08 W2M,Bakken,"Aug 29-Sept 3, 2013",Dean Malhiot,Crescent Point Energy Corp.
12-32-8-8 w2,49.691854,-103.064779,Canada,SK,Tecumseh,*Near* 33 HWY (394 meters NNE),,12-NW-32-8-8-2,12-32-8-8 W2,,,13N 639572E 5506168N,"Zone 13, 639572 meters easting, 5506168 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3B12-32--1C10-31-008-08 W2M,Bakken,"Sept 6-12, 2013",Dean Malhiot,Crescent Point Energy Corp.
13-11-8-8 w2,49.637259,-102.997082,Canada,SK,Tecumseh,*Near* 47 HWY (1.9 km W),,13-NW-11-8-8-2,13-11-8-8 W2,,,13N 644616E 5500227N,"Zone 13, 644616 meters easting, 5500227 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2B13-11--2A16-11-008-08 W2M,Bakken,"Sept 25-30, 2013",Dan Wright,Crescent Point Energy Corp.
12-11-8-8 w2,49.633639,-102.997081,Canada,SK,Tecumseh,*Near* 47 HWY (1.9 km W),,12-NW-11-8-8-2,12-11-8-8 W2,,,13N 644626E 5499825N,"Zone 13, 644626 meters easting, 5499825 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2B12-11-2A9-11-008-08 W2M,Bakken,"Oct 5-10, 2013",Dan Wright,Crescent Point Energy Corp.
3-6-8-9 w2,49.611844,-103.217301,Canada,SK,Tecumseh,*Near* 13 HWY (6 km N),,3-SW-6-8-9-2,3-6-8-9 W2,,,13N 628783E 5497001N,"Zone 13, 628783 meters easting, 5497001 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B3-06--3B3-31-008-09 W2M,Bakken,"Oct 17-23, 2013",Dan Wright,Crescent Point Energy Corp.
4-6-8-9 w2,49.611825,-103.222895,Canada,SK,Tecumseh,*Near* 13 HWY (6 km N),,4-SW-6-8-9-2,4-6-8-9 W2,,,13N 628379E 5496990N,"Zone 13, 628379 meters easting, 5496990 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2A4-06--3A4-31-008-09 W2M,Bakken,"Oct 26-Nov 1, 2013",Dan Wright,Crescent Point Energy Corp.
4-2-8-9 w2,49.611881,-103.132552,Canada,SK,Tecumseh,*Near* 13 HWY (6 km N),,4-SW-2-8-9-2,4-2-8-9 W2,,,13N 634905E 5497154N,"Zone 13, 634905 meters easting, 5497154 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 7C4-02--4C4-03-008-09 W2M,Bakken,"Nov 4-11, 2013",Dan Wright,Crescent Point Energy Corp.
12-23-8-9 w2,49.662748,-103.132598,Canada,SK,Tecumseh,*Near* 13 HWY (0.7 km N),,12-NW-23-8-9-2,12-23-8-9 W2,,,13N 634761E 5502809N,"Zone 13, 634761 meters easting, 5502809 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3C12-23--2A16-23-008-09 W2M,Bakken,"Nov 15-22, 2013",Dan Wright,Crescent Point Energy Corp.
12-34-8-9 w2,49.691864,-103.155082,Canada,SK,Tecumseh,*Near* 13 HWY (2.6 km S),,12-NW-34-8-9-2,12-34-8-9 W2,,,13N 633059E 5506006N,"Zone 13, 633059 meters easting, 5506006 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3C12-34--4C12-33-008-09 W2M,Bakken,"Nov 25-Dec 2, 2013",Dan Wright,Crescent Point Energy Corp.
13-12-9-9 w2,49.724537,-103.109952,Canada,SK,Tecumseh,*Near* 33 HWY (455 meters SSW),,13-NW-12-9-9-2,13-12-9-9 W2,,,13N 636223E 5509719N,"Zone 13, 636223 meters easting, 5509719 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 6B13-12--1B13-11-009-09 W2M,Bakken,"Dec 4-11, 2013",Dan Wright,Crescent Point Energy Corp.
12-34-8-9 w2,49.691864,-103.155082,Canada,SK,Tecumseh,*Near* 13 HWY (2.6 km S),,12-NW-34-8-9-2,12-34-8-9 W2,,,13N 633059E 5506006N,"Zone 13, 633059 meters easting, 5506006 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 7B12-34--3D8-34-008-09 W2M,Bakken,"Jan 4-10, 2014",Dan Wright,Crescent Point Energy Corp.
12-13-7-9 w2,49.560801,-103.109944,Canada,SK,Tecumseh,*Near* 47 HWY (6 km E),,12-NW-13-7-9-2,12-13-7-9 W2,,,13N 636681E 5491517N,"Zone 13, 636681 meters easting, 5491517 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2B12-13--1B12-14-007-09 W2M,Bakken,"Jan 12-19, 2014",Dan Wright,Crescent Point Energy Corp.
13-13-7-9 w2,49.564426,-103.109948,Canada,SK,Tecumseh,*Near* 47 HWY (6 km E),,13-NW-13-7-9-2,13-13-7-9 W2,,,13N 636670E 5491919N,"Zone 13, 636670 meters easting, 5491919 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2C13-13--4C13-14-007-09 W2M,Bakken,"Jan 22-29, 2014",Dan Wright,Crescent Point Energy Corp.
